Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Ano;Quilometragem;Potência do motor;Combustível;Cor;CEP;City;Neighborhood;Link;Tipo de veículo;Câmbio;Direção;Portas;Final de placa;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Direção hidráulica;Alarme;Som;Sensor de ré;Câmera de ré;Blindado
Corolla 2019 GLI Upper EXTRa ;931937054;"NÃO ACEITO TROCAS.  Corolla GLI Upper 2019 Único dono (CARRO IMPECÁVEL) Todas as revisões realizadas na concessionária.  FLEX AUTOMÁTICO MOTOR 1.8  ------------------- ITENS DE SÉRIE:  - Direção elétrica; - Regulagem de volante; - Volante multifuncional; - Ar condicionado; - Trava elétrica; - Vidro elétrico; - Retrovisores elétricos; - Airbags; - Som e multimídia originais da Toyota; - Pneus bons; - Bancos de couro; - Chave reserva + Manual; --------------------";16/09;20:56;amateur;94000;Carros, vans e utilitários;TOYOTA COROLLA GLI UPPER 1.8 FLEX 16V AUT.;TOYOTA;2019;72000;1.8;Flex;Preto;57035180;Maceió;Ponta Verde;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-2019-gli-upper-extra-931937054;Sedã;Automático;Elétrica;4 portas;8;yes;yes;yes;;;yes;yes;;;
Hyundai Creta prestige 18 mil km 2017;921609384;For sale:  Emplacado 2021  18 mil km  Única dona    Hyundai  Ano: 2017 Vei?culo: Creta Modelo: Prestige  Motor: 2.0 Pote?ncia CV:  166 (A) 156 (G) Combusti?vel: Gasolina Ca?mbio: Automático cvt    De se?rie:  Ar condicionado digital automático  Direc?a?o elétrica Vidros ele?tricos Travas ele?tricas Retrovisores elétricos  Retrovisores rebativeis  Airbags frontais, laterais e de cortina Abs Controle de tração e estabilidade  Central multimídia Câmera de ré  Rodas em liga leve  Computador de bordo Faróis com acendimento automático  Faróis de milha  Bancos em couro  Bancos refrigerados  Start stop Drl   R$ 92.500,00  Contato: (82) 9991... ver número/ 9884... ver número/ 9998... ver número   TIAGO CALHEIROS VEI?CULOS AV. FERNANDES LIMA, 3600, GRUTA DE LOURDES, EM FRENTE A RENAULT GAMA.;16/09;20:51;professional;92500;Carros, vans e utilitários;HYUNDAI CRETA PRESTIGE 2.0 16V FLEX AUT.;HYUNDAI;2017;18000;2.0 - 2.9;Flex;Prata;57052400;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hyundai-creta-prestige-18-mil-km-2017-921609384;SUV;Automático;Elétrica;4 portas;;yes;yes;yes;yes;yes;yes;yes;yes;yes;
Automóvel ;929768435;Completo, banco de couro, piloto automático. Valor á vista. Maior mala do segmento. IPVA pago.;16/09;20:45;amateur;65000;Carros, vans e utilitários;RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.;RENAULT;2017;40000;2.0 - 2.9;Flex;Outra;57035030;Maceió;Ponta Verde;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/automovel-929768435;SUV;Automático;Hidráulica;4 portas;9;yes;yes;yes;yes;yes;yes;yes;yes;yes;
SAVEIRO HIGHLINE 1.6 CD 2015;929556330;VOLKSWAGEN SAVEIRO HIGHLINE 1.6 T. FLEX 8V CD Flex 2015 Ar Condicionado Direção Hidráulica Vidros Elétricos Travas Elétricas Alarme Air Bag ABS Som Banco com regulagem altura Computador de Bordo Protetor de Caçamba Retrovisores Elétricos  Sensor de Estacionamento  Volante com Regulagem Altura KM 89000 veículos impecável sem nada pra fazer  AL VEÍCULOS É UMA EMPRESA TRADICIONAL QUE HÁ 15 ANOS  TRABALHA PARA TRANSFORMAR OS SONHOS DE SEUS CLIENTES EM REALIDADE.  *RESERVAMOS O DIREITO DE CORRIGIR EVENTUAIS ERROS DE DIGITAÇÃO.  TRABALHANDO NESTE OBJETIVO, MANTEMOS O NOSSO ESTOQUE ATUALIZADO, COM VEÍCULOS DE QUALIDADE,  PROCEDÊNCIA E VARIEDADE PARA GARANTIR QUE VOCÊ POSSA FAZER A MELHOR ESCOLHA CONOSCO.  VENHA NOS VISITAR E CONFIRA NOSSO AMPLO ESTOQUE DE VEÍCULOS SEMINOVOS!  ATENDIMENTO NO LINK ABAIXO. https://linktr.ee/al_veiculosmcz  (82) 9910... ver número Alberto (82) 3221... ver número LOJA Avenida Senador Rui Palmeira N° 114 Levada - Maceió - AL ;16/09;20:38;professional;58990;Carros, vans e utilitários;VW - VOLKSWAGEN SAVEIRO HIGHLINE 1.6 T. FLEX 8V CD;VW - VOLKSWAGEN;2015;89000;1.6;Flex;Branco;57017175;Maceió;Levada;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/saveiro-highline-1-6-cd-2015-929556330;Pick-up;Manual;Hidráulica;4 portas;8;yes;yes;yes;yes;yes;yes;yes;yes;;
Crossfox 2012;917092294;Volkswagen crossfox 1.6 Com pegada de 0 km,4 pneus novos Com entrada de:2.100 E parcelas a negociar   Condições especiais para NEGATIVADOS AUTONOMOS PENSIONISTA   Para mais informações ligue (82)9870... ver número Hugo santos;16/09;20:29;professional;38500;Carros, vans e utilitários;VW - VOLKSWAGEN CROSSFOX 1.6 MI TOTAL FLEX 8V 5P;VW - VOLKSWAGEN;2012;52000;1.6;Flex;Branco;57048104;Maceió;Antares;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/crossfox-2012-917092294;Hatch;Manual;Hidráulica;4 portas;8;;;yes;;yes;;;;;
POLO 2014;923043985;Entrada mínima R$2.500+ parcelas em 36x, 48x e até 60x.  Mais informações pode ligar, falar no whatsapp ou deixar o número no chat.  (82)9982... ver número OU WHATSAPP: https://wa.me/message/NSQYZZ3JDX4RK1;16/09;20:29;professional;38500;Carros, vans e utilitários;VW - VOLKSWAGEN POLO;VW - VOLKSWAGEN;2014;80000;1.6;Flex;;57048025;Maceió;Antares;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-2014-923043985;Hatch;Manual;Hidráulica;;;;;;;;;;;;
Vendo Astra 2010 2011 bem conservado ;932406536;Vendo Astra bem conservado com jogo de rodas aro 17com pneus meia vida implacadinho com gnv todo legalizado cilindro de 16 metros muito econômico qualquer dúvida zap 9889... ver número;16/09;20:28;amateur;15000;Carros, vans e utilitários;GM - CHEVROLET ASTRA ADVANTAGE 2.0 MPFI 8V FLEXPOWER 5P;GM - CHEVROLET;2011;400000;2.0 - 2.9;Gás Natural;Branco;57014510;Maceió;Ponta Grossa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-astra-2010-2011-bem-conservado-932406536;Sedã;Manual;Hidráulica;4 portas;6;yes;;yes;yes;yes;yes;;;;
C3 xtr 1.4 2009;932406108;DISPENSO MARRETEIROS E GOLPISTA  Carro bem conservado, ipva 2021 pago, 9984... ver número Pedro Ivo  ;16/09;20:27;amateur;None;Carros, vans e utilitários;CITROEN C3 XTR 1.4 FLEX 8V 5P;CITROEN;2009;130000;1.4;Flex;Prata;57055235;Maceió;Farol;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/c3-xtr-1-4-2009-932406108;Hatch;Manual;Elétrica;4 portas;1;yes;;yes;yes;yes;;yes;;;
CHEVROLET JOY 2019/2020 1.0 SPE4 FLEX MANUAL;882360298;Veículo: CHEVROLET JOY 1.0 SPE4 FLEX MANUAL Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Rádio, Sensor de estacionamento  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;16/09;20:26;professional;50990;Carros, vans e utilitários;GM - CHEVROLET JOY HATCH 1.0 8V FLEX 5P MEC;GM - CHEVROLET;2020;47169;;Flex;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2019-2020-1-0-spe4-flex-manual-882360298;Passeio;Manual;;4 portas;2;yes;;yes;yes;;yes;;;;
ECOSPORT 2019/2020 2.0 DIRECT FLEX STORM 4WD AUTOMÁTICO;882360462;Veículo: FORD ECOSPORT 2.0 DIRECT FLEX STORM 4WD AUTOMÁTICO Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Rodas de liga leve, Bancos de couro, Desembaçador traseiro, Teto solar, Limpador traseiro, Volante com Regulagem de Altura, Sensor de estacionamento, Banco do motorista com ajuste de altura, Computador de bordo, Controle automático de velocidade, Controle de tração, Retrovisor fotocrômico, Sensor de chuva  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;16/09;20:26;professional;89420;Carros, vans e utilitários;FORD ECOSPORT 4WD 2.0/ 2.0 FLEX 16V 5P;FORD;2020;41872;;Flex;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2019-2020-2-0-direct-flex-storm-4wd-automatico-882360462;Passeio;Automático;;4 portas;4;yes;;yes;yes;;yes;;;;
Renault Logan Authentique 1.0 12V SCe (Flex);926831034;Se você quer comprar um novo carro, precisa fazer isso com quem tem qualidade, procedência e entende do assunto. A Seminovos Movida conhece e cuida de seus veículos desde zero e é tanta confiança que damos 1 ano de garantia para todas as marcas e modelos. Aqui, você pode renovar a sua garagem com as melhores taxas e condições de pagamento e ainda avaliar o seu usado na troca. Isso sem contar as ofertas, que são as melhores do mercado. São mais de 70 lojas espalhadas por todo o Brasil. Acesse seminovosmovida.com.br, descubra qual a unidade mais próxima de você e venha nos visitar. IPVA pago,Licenciado Air bag motorista Air bag passageiro Alarme Ar condicionado Desembaçador traseiro Direção hidráulica Distribuição eletrônica de frenagem Freio ABS Travas elétricas Vidros elétricos;16/09;20:23;professional;50770;Carros, vans e utilitários;RENAULT LOGAN AUTHENTIQUE FLEX 1.0 12V 4P;RENAULT;2020;30819;1.0;Flex;Prata;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-authentique-1-0-12v-sce-flex-926831034;Passeio;Manual;Hidráulica;4 portas;4;yes;yes;yes;yes;;yes;;;;
Vendo Fiesta sedan ;923998662;Carro Muito conservado, pra pessoas exigentes, completo, tudo funcionando perfeitamente. Motor 1.6 flex. com 183.000 Km, Ano 2008  *Sem detalhes*  - Ar condicionado  - Trava - Alarme - Vidros elétricos - Sensor de ré - Direção Hidráulica - 2 Pneus novos   venha conferir!! Contato: 82 9933... ver número;16/09;20:17;amateur;17499;Carros, vans e utilitários;FORD FIESTA SED. 1.6 8V FLEX 4P;FORD;2008;183000;1.6;Flex;Prata;57060100;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-fiesta-sedan-923998662;Sedã;Manual;Hidráulica;4 portas;6;yes;;yes;yes;yes;yes;yes;yes;;
Fox Connect 1.6 - 2019;910753517;AABA VEÍCULOS  Felipe: 9814... ver número (whatsapp)  Alex: 9886... ver número (whatsapp)  Jaqueline: 9963... ver número (whatsapp)  Garantia de 3 meses motor e caixa de marcha. Carros de procedência! Financio. Troco. Aceito carta de crédito contemplada. Localizado no auto shopping Maceió. Em frente ao atacadão do tabuleiro.;16/09;20:14;professional;0;Carros, vans e utilitários;VW - VOLKSWAGEN FOX CONNECT 1.6 FLEX 8V 5P;VW - VOLKSWAGEN;2019;47000;1.6;Flex;Branco;57081285;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fox-connect-1-6-2019-910753517;Hatch;Manual;Elétrica;4 portas;;yes;yes;yes;yes;yes;yes;yes;yes;yes;
Vendo ou troco Kyron 2012;932402176;Completa Carro a Diesel  4x4 Teto solar  Ar condicionado  Trava  Alarme  Vidro  Direção  Cd play com controle no vontade  Airbag  Banco de couro  Jogo de roda  Emplacado  Quitado  Recibo em branco do verdinho  Mais informações 9885... ver número oi  9997... ver número tim ;16/09;20:12;amateur;40000;Carros, vans e utilitários;SSANGYONG KYRON 2.0 16V 141CV  TDI DIESEL AUT.;SSANGYONG;2012;100000;2.0 - 2.9;Diesel;Prata;57020020;Maceió;Centro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-kyron-2012-932402176;SUV;Manual;Hidráulica;4 portas;1;yes;yes;yes;yes;yes;yes;yes;yes;;
