Title;ID;Description;Date;Hour;Class;Price;Categoria;Tipo;Área útil;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condominio;CEP;Município;Bairro;Logradouro;Link;Área construída;Tamanho;Condomínio;Acomoda;Características;IPTU
VENDO EXCELENTE APT NA GRUTA;958763142;São 3/4 , 3 banheiros salas amplas, cozinha área  de serviço , ampla  Tratar Karine camelo 9971... ver número CRECI 4743;03/12;06:50;amateur;200000;Apartamentos;Venda - apartamento padrão;114m²;3;3;1;Área de serviço, Varanda, Piscina, Quarto de serviço, Armários na cozinha;Condomínio fechado, Segurança 24h, Portaria, Permitido animais, Elevador, Piscina, Salão de festas;57000000;Maceió;;;https://al.olx.com.br/alagoas/imoveis/vendo-excelente-apt-na-gruta-958763142;;;R$ 650;;;
CHÁCARA PARA FINAIS DE SEMANA E FERIADOS;815515558;*Aluguel por Temporada*  Chácara com 3000 metros quadrados, na cidade de Barra de Santo Antônio, Alagoas.  *Na região que o rio deságua no mar, muito bonito!!*  *A 400 metros do mar. *Piscina com deck  *Chuveirão  *Área de churrasco com banheiro de apoio. Playground. *Varanda de jogos, com totó, pingue-pongue e sinuca *Caramanchão  *Vários pés frutíferos  *Ampla área verde  *Banquinhos próximo as árvores  *Toda mobiliada  *TV a cabo  * Internet fibra ótica *Área de estacionamento para 6 Veiculos   *Casa com:* *2 salas para refeições *1 sala de estar *Cozinha bem equipada  *Varandas  *4 quartos (sendo 2 suítes) *3 camas de casal, 2 de solteiro e 2 *beliches (camas p 12 pessoas).  *Todos os quartos com ar condicionado   Rua residencial super tranquila  Toda a chácara tem cerca elétrica e circuito de segurança.   OBS. ALUGADA PARA RÉVEILLON OBS. ALUGADA PARA CARNAVAL      Com uma ligação, o mercadinho entrega de tudo no local. WhatsApp 82-9880... ver número *Não perca essa oportunidade!!*;03/12;06:30;amateur;None;Temporada;;;4;;5 ou mais;;;57052530;Maceió;Gruta de Lourdes;Rua Rita de Cássia;https://al.olx.com.br/alagoas/temporada/chacara-para-finais-de-semana-e-feriados-815515558;;;;12;Permitido animais, Varanda/Terraço, Internet, TV a cabo, Fogão, Ar condicionado, Máquina de lavar, Piscina, Geladeira, Roupa de cama, Estacionamento, Churrasqueira;
Salas/Lojas Comerciais na Avenida Jatiuca;964642535;Salas Comerciais na melhor localização da Avenida Jatiuca - Galeria Jatiuca CENTER (em frente a Incomel) ____________________________ NAO COBRAMOS CONDOMÍNIO  ISENCAO DE IPTU ISENÇÃO DE TAXA DE BOMBEIRO _____________________________ Salas/Lojas entre 16m2 e 23m3  Contato whatsapp Administração: 8299... ver número ;03/12;06:20;amateur;1550;Comércio e indústria;;;;;;;;57035700;Maceió;Jatiúca;Avenida Doutor Júlio Marques Luz - até 2014/2015;https://al.olx.com.br/alagoas/comercio-e-industria/salas-lojas-comerciais-na-avenida-jatiuca-964642535;;23m²;R$ 0;;;R$ 0
Apartamento no Coração  do Farol - Cobertura - Edifício Porto Ferrario;927440091;Vendo apartamento, no 15° andar do Edifício Porto Ferrario (Praça Gonçalves  Ledo). Apartamento todo reformado. Próximo  a Faculdades, Unimed, Farmácia, Unicompra, Palato (Unidade Parque Gonçalves Ledo).;03/12;06:18;amateur;380000;Apartamentos;Venda - apartamento cobertura;98m²;3;2;1;Área de serviço, Armários embutidos, Varanda, Quarto de serviço;Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas, Condomínio fechado;57051150;Maceió;Farol;Rua Comendador Palmeira;https://al.olx.com.br/alagoas/imoveis/apartamento-no-coracao-do-farol-cobertura-edificio-porto-ferrario-927440091;;;R$ 380.000;;;
Duplex 370 mil;920472775;URGENTE Vendo:  casa localizada no Barro Duro: Com 04 Qtos e 03 WC todos com box blindex ,onde  01dos qtos possui suíte, o de casal possui suíte master com banheira, 01 WC social. 03 salas , TV, jantar e estar.Cozinha com pia e balcão em L, dispensa, e mesa de granito. Varanda , área de serviço, churrasqueira e uma pequena piscina. Rua fechada onde é pago apenas uma taxa para manutenção de apenas 25,00 reais. Taxa única de água , não importa o consumo de apenas 65,00 . água de posso (testada  sendo uma fonte mineral). Rua tranquila , monitorada por 10 câmeras. Conjunto onde possui uma capela onde se realiza missas e encontre religiosos.Bairro com Bancos, restaurantes,escolas, e comércio. Contato: Só ligue se tiver interesse (81) 9 9835... ver número. SOU A PROPRIETÁRIO ,ESTOU A DISPOSIÇÃO PARA QUALQUER DÚVIDA A RESPEITO DA CASA. LIQUE E MARQUE A SUA VISITA. (((ACEITO PROPOSTA)  QUERO VENDER . MOTIVO: ESTOU MORANDO EM OUTRO ESTADO.    ;03/12;06:07;amateur;370;Casas;Venda - casa em rua pública;;4;3;1;Área de serviço, Churrasqueira, Varanda;Área murada, Permitido animais, Portão eletrônico, Piscina, Condomínio fechado;57045075;Maceió;Barro Duro;Rua Francisco Tibúrcio da Silva Rizzo;https://al.olx.com.br/alagoas/imoveis/duplex-370-mil-920472775;250m²;;R$ 0;;;R$ 600
Apartamento Garden com 3 dormitórios à venda, 315 m² por R$ 7.139.813,00 - Jardim Paulista;964637735;Código do anúncio: GD0173  Apartamento Garden com área de 315m², possui 3 Dormitórios Suítes com porta balcão para acesso ao terraço, Living,  Cozinha Fechada, Despensa fechada com porta para área de serviço, 4 Banheiro sendo 3 suítes e 1 Social, 1 Lavabo, Terraço descoberto,  Terraço gourmet com churrasqueira á carvão, Depósito e 4 vagas para estacionamento. O Privilégio de morar em um endereço tranquilo e valorizado, no melhor de 3 bairros, Jardins, Itaim e Ibirapuera.   Ótima localização próximo ás Av. Brigadeiro Luís Antônio e Av. São Gabriel. -;03/12;06:04;professional;7139813;Apartamentos;Venda - apartamento padrão;316m²;3;4;4;Ar condicionado, Piscina, Academia, Área de serviço;Elevador, Piscina, Academia;57670000;Maribondo;;;https://al.olx.com.br/alagoas/imoveis/apartamento-garden-com-3-dormitorios-a-venda-315-m-por-r-7-139-813-00-jardim-paulista-964637735;;;;;;
Aluguel de casa na praia ;964635221;Alugo casa na praia em peroba-Maragogi  Casa muito  boa;03/12;05:59;amateur;300;Temporada;Casa;;2;;3;;;57955000;Maragogi;;;https://al.olx.com.br/alagoas/temporada/aluguel-de-casa-na-praia-964635221;;;;5;Varanda/Terraço, Permitido animais, Internet, TV a cabo, Fogão, Ar condicionado, Ventilador, Geladeira, Estacionamento, Churrasqueira;
às duas casas por 70 mil, entrego pronta!;964633798;Ligação e Zap. (82) 9911... ver número. 70 mil às duas, entrego pronta!;03/12;05:54;amateur;70000;Casas;Venda - casa em rua pública;;2;1;1;Área de serviço;Área murada;57100000;Rio Largo;;;https://al.olx.com.br/alagoas/imoveis/as-duas-casas-por-70-mil-entrego-pronta-964633798;150m²;;R$ 0;;;R$ 0
Ap Jatiuca temporada ;932983763; O apartamento de 45 metros quadrados, situado em edifício de alto padrão, localizado no coração da Jatiúca, a poucos metros da praia( acesso pelo corredor vera arruda), supermercado unicompra (ao lado- somente atravessar a rua), restaurantes, pizzarias, casa de show, caixa 24 hrs farmácias e etc?.   Possuí Wi-Fi em todo apartamento, TV smart de 50 polegadas na sala e 32 no quarto, plataforma now(tipo Netflix)!!  Capacidade para 4 pessoas. Sendo uma cama de casal queen, uma cama de solteiro e um sofá cama.  A sala e o quarto já estão com black out, cortinas e equipados com ar-condicionado ( sala e quarto) e um closet para acomodar as bagagens e roupas?  A cozinha está toda equipada com eletrodomésticos tipo: fogão, microondas, cafeteira, sanduicheira e etc.  O espaço também conta com uma pequena área de serviço.  Será cobrada a taxa de R$0,91 por kw consumido pelo período. Leitura do contador de energia no check-in e no check-out.  É permitido animais de estimação desde que seja de pequeno porte. ;03/12;05:40;amateur;None;Temporada;Apartamento;;1;;1;;;57010376;Maceió;Trapiche da Barra;Rua Ary Pitombo;https://al.olx.com.br/alagoas/temporada/ap-jatiuca-temporada-932983763;;;;4;Permitido animais, Internet, TV a cabo, Toalhas, Fogão, Ar condicionado, Piscina, Geladeira, Roupa de cama, Estacionamento, Churrasqueira;
ALTO PADRÃO à venda, Cruz das Almas, Maceió.;964631142;Código do anúncio: OT0016_GA  Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a GA IMÓVEIS! Basta preencher o formulário com nome, telefone e e-mail e enviar. Pronto! Agora o corretor da GA IMÓVEIS entrará em contato para confirmar interesse e agendar uma visita. Se tiver alguma dúvida, é só entrar em contato com a Arbo pelo número anunciado ao lado. Lembre-se que o imóvel está sujeito à confirmação de disponibilidade e valores. Confira mais sobre o imóvel da GA IMÓVEIS: Descrição: Sala de estar e jantar, hall interno, varanda, 4 quartos suítes, 1 lavabo, hall social, deposito, 1 DCE, cozinha e área de serviço.  Localização: Beira Mar, Cruz Das Almas.    Área: 186 M2.  Revestimento: Cerâmica, vidro e Pastilha.   Vagas de garagem: 3 vaga da garagem.  Situação do imóvel: NOVO.  Condomínio: 1.096,27 (agua, gás, elevadores, sala de estudo, brinquedoteca, espaço mulher, salão de festa, piscina, churrasqueira, gerador, porteiro 24 horas, guarita de segurança, playground, portão automático, quadra poliesportiva, sauna, academia de musculação, praça,  bicicletário)  Valor: 1.700.000,00 Portaria 24 Horas Portão Eletrônico;03/12;05:10;professional;1700000;Apartamentos;Venda - apartamento padrão;186m²;1;1;3;;;57038230;Maceió;Cruz das Almas;Avenida Brigadeiro Eduardo Gomes;https://al.olx.com.br/alagoas/imoveis/alto-padrao-a-venda-cruz-das-almas-maceio-964631142;;;R$ 1.096;;;R$ 0
Ponto Comercial no Ponta da Barra, com vista da lagoa, 5 quartos, 2 suítes!;964631114;Código do anúncio: PT0001_GA  Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a GA IMÓVEIS! Basta preencher o formulário com nome, telefone e e-mail e enviar. Pronto! Agora o corretor da GA IMÓVEIS entrará em contato para confirmar interesse e agendar uma visita. Se tiver alguma dúvida, é só entrar em contato com a Arbo pelo número anunciado ao lado. Lembre-se que o imóvel está sujeito à confirmação de disponibilidade e valores. Confira mais sobre o imóvel da GA IMÓVEIS: Ponto Comercial no Ponta da Barra, com vista da lagoa, 5 quartos, 2 suítes!Descrição: Em cima: Sala de estar e jantar, escada, 5 quartos, 2 suítes, varanda com vista da lagoa, cozinha com área de serviço.   Embaixo: Alugado para uma PADARIA, (PONTO COMERCIAL).    Localização: Pontal Da Barra.   Área: 6,50 X 28: 182 m²Valor: R$ 1.000.000,00    Revestimento: Cerâmica e Pastilha.   CRECI 5835 JGA IMÓVEISTelefones para contato: Fixo: Celular/ WhatsApp: www.gaimoveis.com Sol da manhã Armário Cozinha Varanda Despensa;03/12;05:10;professional;1000000;Comércio e indústria;;;;;;;;57010810;Maceió;Pontal da Barra;Avenida Alípio Barbosa da Silva;https://al.olx.com.br/alagoas/comercio-e-industria/ponto-comercial-no-ponta-da-barra-com-vista-da-lagoa-5-quartos-2-suites-964631114;;182m²;R$ 0;;;R$ 0
Na Praia da Avenida, centro de Maceió!!;964629771;Ótimo apartamento, não é a chave!! Não tem débito nenhum, iptu, condomínio, bombeiros e Equatorial tudo em dia!! Aceito veículo como parte do valor e aceito troca em imóvel!! Direto com proprietário, escriturado e Registrado, pronto pra transferir em cartório, Whatsapp ou ligações: 87 9884... ver número;03/12;04:33;amateur;57000;Apartamentos;Venda - apartamento padrão;44m²;1;1;1;Armários na cozinha;Condomínio fechado, Permitido animais;57022050;Maceió;Jaraguá;Avenida da Paz - até 1250 - lado par;https://al.olx.com.br/alagoas/imoveis/na-praia-da-avenida-centro-de-maceio-964629771;;;R$ 200;;;R$ 350
Apartamento na Jatiúca;964629729;Apartamento 3/4 sendo 2 suítes sala com varanda andar alto cozinha americana área de serviço nascente super ventilado  WC Social 89m2, 2 elevadores salão de festas 2 vagas no sub solo, perto de tudo Unicompra panetute padaria caixa econômica G Barbosa os melhores bares e restaurantes do Stella maris Harmony  Drogasil no EDF Estrela do mar. Mauro Lins corretor de imóveis CRECI 01659 (82 99924.5228 ligue e agende sua visita.;03/12;04:33;amateur;410000;Apartamentos;Venda - apartamento padrão;89m²;3;2;2;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Ar condicionado, Varanda;Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Salão de festas;57046410;Maceió;Serraria;Avenida Presidente Roosevelt;https://al.olx.com.br/alagoas/imoveis/apartamento-na-jatiuca-964629729;;;R$ 850;;;R$ 1.700
( Oportunidade) Apartamento na rua da lojas Americanas próximo ao shopping Pátio.;964629589;Condominio Village da Alvorada Apartamento de 2 quartos 2° andar Boa localização, perto das lojas americanas, Upa e Shopping Patio.  Valor de oportunidade para você que quer comprar seu Apartamento.  Aceita financiamento bancário. Informações: 82-9968... ver número também é whatsapp.  CRECI 5135;03/12;04:32;amateur;88000;Apartamentos;Venda - apartamento padrão;50m²;2;1;1;Churrasqueira;Condomínio fechado, Segurança 24h, Portaria, Permitido animais, Salão de festas;57085160;Maceió;Benedito Bentes;Avenida Antônio Lisboa de Amorim;https://al.olx.com.br/alagoas/imoveis/oportunidade-apartamento-na-rua-da-lojas-americanas-proximo-ao-shopping-patio-964629589;;;R$ 140;;;R$ 0
Casa temporada Barra São Antonio-AL;936261169;Casa com 2 quartos, sala, cozinha e área de serviços.  Sexta a domingo R$ 450,00  Natal / Ano Novo disponível / Carnaval   Falar com Ailto  Whatsapp  82-9886... ver número;03/12;04:30;amateur;180;Temporada;Casa;;2;;2;;;57925000;Barra de Santo Antônio;;;https://al.olx.com.br/alagoas/temporada/casa-temporada-barra-sao-antonio-al-936261169;;;;8;Permitido animais, Varanda/Terraço, Internet, Fogão, Ventilador, Piscina, Geladeira, Roupa de cama, Estacionamento, Churrasqueira;
Oportunidade excelente no Farol ;964628394;" Apt. maravilhoso no Edifício Dilma Paiva no Farol.  Sendo: 3/4 sendo 01 suíte, Nascente no 13 andar; 2 vagas no subsolo; Área de serviço cozinha americana; Quartos planejados.  Condomínio 330,00  Oportunidade imperdível!   CRECI - 4569  A.M - 59 ";03/12;04:14;professional;280000;Apartamentos;Venda - apartamento padrão;0m²;3;2;0;;Condomínio fechado, Elevador, Segurança 24h, Portaria, Piscina, Salão de festas;57055000;Maceió;Farol;Avenida Fernandes Lima - até 1497 - lado ímpar;https://al.olx.com.br/alagoas/imoveis/oportunidade-excelente-no-farol-964628394;;;R$ 330;;;
Belíssimo apt. na Gruta de Lourdes;964627741;"Apt. no Edifício Novittá, sendo: Sala de estar/jantar com varanda, 02 quartos, sendo 01 suíte e 01 suíte reversível, cozinha/ serviço.  Próximo do que é essencial!  Localização privilegiada, no bairro da Gruta de Lourdes, próximo do Hospital Artur Ramos, Supermercados, Extra, Faculdades, farmácias, colégios, restaurantes, pizzarias.  Condomínio: Piscina adulto e infantil; Academia; Salão de festas; Churrasqueira; Salão de jogos e sala de estudos; Playground.  Não perca esta grande oportunidade!   CRECI - 4569  A.M - 58   ";03/12;04:06;professional;250000;Apartamentos;Venda - apartamento padrão;0m²;2;2;1;Área de serviço, Armários embutidos, Armários na cozinha;Condomínio fechado, Elevador, Segurança 24h, Portaria, Academia, Piscina, Salão de festas;57052827;Maceió;Gruta de Lourdes;Rua Hugo Corrêa Paes;https://al.olx.com.br/alagoas/imoveis/belissimo-apt-na-gruta-de-lourdes-964627741;;;R$ 400;;;
Linda Casa Condominio fechado 400 m Serraria Vista do Vale;964626120;"Casa de primeiro andar 400 mil No condomínio VISTA DO VALE  Localização privilegiada,  na Serraria, perto de tudo.    A 10 minutos da praia.   Condomínio com área de lazer super completa( piscina salão de festas, parquinho, quadra).   Descrição:  * Casa com 3 quartos * Sendo 2 suítes * 1 quarto reversível * Sala estar e jantar estilo conceito aberto * toda a casa no piso porcelanato * cozinha * 3 banheiros * Área de serviço externa * vaga de Garagem * quintal em ""L"" com chuveirão e espaço para churrasqueira  * condomínio fechado  com portaria 24h,  monitoramento de câmeras,  ronda particular, coleta de lixo, manutenção dos jardins e das ruas e água inclusa no valor do condomínio.   Condomínio 380 . . 400 Mil . ou Stagrann Sobreira.imoveis Verifica lá várias opções  Direct ou whatsapp 82-99625.8041 . Tenho essa e outras casas Entra em contato Zzapi . . ";03/12;03:40;amateur;400000;Casas;Venda - casa em rua pública;;4;3;;Área de serviço, Armários na cozinha, Armários embutidos, Mobiliado, Ar condicionado, Churrasqueira, Varanda, Quarto de serviço;Condomínio fechado, Segurança 24h, Área murada, Permitido animais, Portão eletrônico, Academia, Piscina;57046832;Maceió;Serraria;Estrada Gerson Lopes;https://al.olx.com.br/alagoas/imoveis/linda-casa-condominio-fechado-400-m-serraria-vista-do-vale-964626120;;;;;;
Casa para alugar com 3 dormitórios em Tabuleiro dos martins, Maceio cod:34974;964625383;Código do anúncio: 34974 CASA C/ 3 QUARTOS, 250 M² LOCALIZADA NA RUA D, CONJUNTO MORADA DO BOSQUE N.08, BAIRRO TABULEIRO, COM 250 M², SALA DE ESTAR E JANTAR, UM WC SOCIAL, TRÊS QUARTOS, SENDO UMA SUÍTE, COZINHA , ÁREA DE SERVIÇO, VARANDA ESPAÇOSA, UMA GARAGEM COBERTA, QUINTAL ESPAÇOSO COM CHUVEIRÃO. PRÓXIMO A ESCOLAS, FARMÁCIAS E MUITO MAIS! PONTO DE REFERÊNCIA: POR TRÁS DA LOJA TUPAN, VIZINHO A DIVINAS GULOSEIMAS. . Valor do IPTU R$89.00;03/12;03:10;professional;1600;Casas;Aluguel - casa em rua pública;;3;;2;Varanda;;57062589;Maceió;Petrópolis;Rua Projetada 1049 (Cj Morada do Bosque);https://al.olx.com.br/alagoas/imoveis/casa-para-alugar-com-3-dormitorios-em-tabuleiro-dos-martins-maceio-cod-34974-964625383;250m²;;;;;R$ 89
Escritório para alugar em Antares, Maceio cod:34958;964625377;Código do anúncio: 34958 ;03/12;03:10;professional;1000;Comércio e indústria;;;;;1;;;57063059;Maceió;Santa Amélia;Rua Projetada (Lot Sta Amélia);https://al.olx.com.br/alagoas/comercio-e-industria/escritorio-para-alugar-em-antares-maceio-cod-34958-964625377;;18m²;;;;R$ 0
Vendo Casa no Eustáquio Gomes;964619411;VENDO CASA NO EUSTÁQUIO GOMES  CASA EM ÓTIMA LOCALIZAÇÃO, PROXIMO A ESCOLA E FARMÁCIA 2 QUARTOS 2 BANHEIROS COZINHA ESPAÇOSA SALA  VALOR: 100.000,00  MOTIVO: MUDANÇA DE CIDADE  ACEITO FINANCIAMENTO OU 15MIL DE ENTRADA+ PARCELAS  CONTATO (82)9882... ver número;03/12;01:31;amateur;100000;Casas;Venda - casa em rua pública;;2;2;;Área de serviço, Varanda;;57072300;Maceió;Cidade Universitária;Rua Soldado Adrião José da Silva;https://al.olx.com.br/alagoas/imoveis/vendo-casa-no-eustaquio-gomes-964619411;;;;;;
Vende-se terreno ;964618339;Localizado em matriz de camaragibe AL no conjunto cicero Cavalcante,  medindo 7×15;03/12;01:19;amateur;17000;Terrenos, sítios e fazendas;Terrenos;;;;;;;57910000;Matriz de Camaragibe;;;https://al.olx.com.br/alagoas/terrenos/vende-se-terreno-964618339;;;;;;
Vendo linda casa 3 quartos na Barra Nova!!!;964617804;"  Vendo excelente casa duplex com 93m², em condomínio fechado com ampla área de lazer, localizado na avenida principal na Barra Nova, a poucos metros da prainha, o local é muito aconchegante e excelente para você que deseja tranquilidade e sossego, a 15 minutos do centro de Maceió.  Pontos de referência: próximo a churrascaria O Costelão e ao famoso bar e restaurante PIERZERO8 na beira da lagoa.   O condomínio possuí:  * Piscina  * Churrasqueira  * Salão de festa com Wc  * Controle de acesso 24 hs.  * 1 (uma) vaga de garagem.  A casa possuí:  * 1 ( um) Varandão na porta de entrada e outro no quarto de casal;   * 3 (Três) quartos sendo 1 (um) suíte;  * Sala de estar e jantar;  * Banheiro social;  * Cozinha;  *Área de serviço.   Valor do condomínio: R$ 180,00  Valor do imóvel: R$ 265 Mil.    A vista ou financiado  Agende sua visita!!!  Diane Paz  82-98115/1001 whatspp! CRECI: 4902   ";03/12;01:10;professional;265000;Casas;Venda - casa em condominio fechado;;3;2;1;Área de serviço, Churrasqueira, Varanda;Condomínio fechado, Segurança 24h, Área murada, Permitido animais, Portão eletrônico, Piscina;57160000;Marechal Deodoro;;;https://al.olx.com.br/alagoas/imoveis/vendo-linda-casa-3-quartos-na-barra-nova-964617804;93m²;;R$ 180;;;R$ 0
