Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Ano;Quilometragem;Potência do motor;Combustível;Câmbio;Direção;Cor;Portas;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Alarme;Som;Câmera de ré;CEP;City;Neighborhood;Link;Tipo de veículo;Final de placa;Direção hidráulica;Sensor de ré
FIAT ARGO 2019/2020 1.0 FIREFLY FLEX DRIVE MANUAL;920375139;Veículo: FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Limpador traseiro, Rádio, Encosto de cabeça traseiro, Volante com Regulagem de Altura, Sensor de estacionamento, Banco do motorista com ajuste de altura, Computador de bordo, GPS  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;07/12;19:42;professional;60990;Carros, vans e utilitários;FIAT ARGO;FIAT;2020;57861;;Flex;Manual;;;4 portas;yes;;yes;yes;yes;;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2019-2020-1-0-firefly-flex-drive-manual-920375139;Passeio;1;;
Hyundai HB20S 1.0 Vision (Flex);954234418;Se você quer comprar um novo carro, precisa fazer isso com quem tem qualidade, procedência e entende do assunto. A Seminovos Movida conhece e cuida de seus veículos desde zero e é tanta confiança que damos 1 ano de garantia para todas as marcas e modelos. Aqui, você pode renovar a sua garagem com as melhores taxas e condições de pagamento e ainda avaliar o seu usado na troca. Isso sem contar as ofertas, que são as melhores do mercado. São mais de 70 lojas espalhadas por todo o Brasil. Acesse seminovosmovida.com.br, descubra qual a unidade mais próxima de você e venha nos visitar. IPVA pago,Licenciado Air bag motorista Air bag passageiro Alarme Ar condicionado Central multimídia Computador de bordo Desembaçador traseiro Direção hidráulica Distribuição eletrônica de frenagem Entrada USB Freio ABS Retrovisores elétricos Rodas de liga leve Rádio Sensor de chuva Sensor de estacionamento Travas elétricas Vidros elétricos Volante com regulagem de altura;07/12;19:42;professional;69130;Carros, vans e utilitários;HYUNDAI HB20S VISION 1.0 FLEX 12V MEC;HYUNDAI;2020;44955;1.0;Flex;Manual;Hidráulica;Preto;4 portas;yes;yes;yes;yes;yes;;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-1-0-vision-flex-954234418;Passeio;2;;yes
Chevrolet Onix Plus 1.0 LT Turbo (Flex) (Aut);954975661;Se você quer comprar um novo carro, precisa fazer isso com quem tem qualidade, procedência e entende do assunto. A Seminovos Movida conhece e cuida de seus veículos desde zero e é tanta confiança que damos 1 ano de garantia para todas as marcas e modelos. Aqui, você pode renovar a sua garagem com as melhores taxas e condições de pagamento e ainda avaliar o seu usado na troca. Isso sem contar as ofertas, que são as melhores do mercado. São mais de 70 lojas espalhadas por todo o Brasil. Acesse seminovosmovida.com.br, descubra qual a unidade mais próxima de você e venha nos visitar. IPVA pago,Licenciado Air bag lateral Air bag motorista Air bag passageiro Ar condicionado CD Player Calotas Computador de bordo Piloto automático Rodas de liga leve Rádio Travas elétricas Vidros elétricos Volante com regulagem de altura;07/12;19:40;professional;81690;Carros, vans e utilitários;GM - CHEVROLET ONIX SEDAN PLUS LT 1.0 12V TB FLEX AUT.;GM - CHEVROLET;2020;40510;1.0;Flex;Automático;;Vermelho;4 portas;yes;yes;yes;yes;;yes;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-plus-1-0-lt-turbo-flex-aut-954975661;Passeio;4;;
Vírtus 2020 ;966287537;R$76,000 Urgente !  Zap - 84 9919... ver número  Só fala se realmente estiver interessado. ;07/12;19:35;amateur;76000;Carros, vans e utilitários;VW - VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT;VW - VOLKSWAGEN;2020;33600;1.0;Flex;Automático;Elétrica;Cinza;4 portas;yes;yes;yes;yes;yes;yes;yes;57050250;Maceió;Farol;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/virtus-2020-966287537;Sedã;4;yes;yes
Fox 1.6 Tredline 2013 Flex;966287208;FOX 1.6 TREDLINE 2013 RODAS DE LIGA LEVE MULTIMIDIA REVISADO EMPLACADO SEM MULTAS CONTATO- 8298... ver número ;07/12;19:33;amateur;33000;Carros, vans e utilitários;VW - VOLKSWAGEN FOX TRENDLINE 1.6 FLEX 8V 5P;VW - VOLKSWAGEN;2013;130000;1.6;Flex;Manual;Hidráulica;Prata;4 portas;yes;;yes;yes;yes;yes;;57081190;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fox-1-6-tredline-2013-flex-966287208;Hatch;5;;yes
Ford Ka 98;966287020;Emplacado, básico só precisa de uma revisão na parte elétrica aceito troca em moto número pra contato 82 9937... ver número ZAP 82 9932... ver número;07/12;19:33;amateur;4000;Carros, vans e utilitários;FORD KA 1.0 8V/1.0 8V ST FLEX 3P;FORD;1998;250000;1.0;Gasolina;Manual;Mecânica;Verde;2 portas;;;;;;;;57935000;Paripueira;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-98-966287020;Hatch;;;
Celta muito top com ar  alarme e trava  pra vender;966286399;Celta top com ar, jogo de rodas 15 alarme e trava 2003 só venda 9997... ver número;07/12;19:30;amateur;14000;Carros, vans e utilitários;GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P;GM - CHEVROLET;2005;0;1.0;Gasolina;Manual;Mecânica;Preto;4 portas;;;yes;yes;yes;yes;;57255000;Jequiá da Praia;Centro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/celta-muito-top-com-ar-alarme-e-trava-pra-vender-966286399;Passeio;7;;
D-20 1991 Cabine dupla ;966285656;D-20 vermelha cabine dupla 1991 4 pneus novos  Bancos todos cobertos Emplacada  Todo extra pronto pra viajar  ;07/12;19:27;amateur;60000;Carros, vans e utilitários;GM - CHEVROLET D-20;GM - CHEVROLET;1991;59109;;Diesel;Manual;Hidráulica;Vermelho;4 portas;;;;;;;;57607300;Palmeira dos Índios;Vila Maria;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/d-20-1991-cabine-dupla-966285656;;;;
FIESTA CLASS;958784462;"FIESTA CLASS ANO: 2010; MOTOR: 1.6; KM: 71.000; ÚNICO DONO; VEÍCULO POSSUI MANUAL + CHAVE RESERVA; FINANCIAMOS; ACEITAMOS CARTÕES DE CRÉDITO (parcelamos em até 21 vezes); NAO PERCA TEMPO, VENHA NÓS FAZER UMA VISITA E CONFERIR ESSE BELO VEÍCULO; OPORTUNIDADE!!!!  Os melhores carros e as melhores ofertas.  Levcar Veículos - seminovos e usados sempre oferecendo aos nossos clientes veículos selecionados, das mais alta qualidade, procedentes e garantidos.  Faça uma visita a nossa loja, conheça nosso atendimento diferenciado.  Avenida Doutor Júlio Marques Luz, n: 2410, Jatiuca, Maceió/AL. Contatos: (82) 9982... ver número - Leandro 3025... ver número.   ";07/12;19:23;professional;24990;Carros, vans e utilitários;FORD FIESTA CLASS 1.0 4P;FORD;2010;71100;1.0;Flex;Manual;Hidráulica;Prata;4 portas;yes;;yes;yes;yes;yes;;57035700;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiesta-class-958784462;Hatch;9;yes;
Civic LXL automático 2011 carro novo!;966284656;Civic LXL automático com troca de marchas no volante carro muito novo os 5 pneus zerado com 1 mês de comprado;07/12;19:23;amateur;46500;Carros, vans e utilitários;HONDA CIVIC SED. LXL/ LXL SE 1.8 FLEX 16V AUT.;HONDA;2011;100000;1.8;Flex;Automático;Elétrica;Preto;4 portas;yes;yes;yes;yes;yes;yes;;57074215;Maceió;Cidade Universitária;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/civic-lxl-automatico-2011-carro-novo-966284656;Sedã;5;;yes
Vendo Van só pegar e usar. Valor abaixo da tabela FIPE ;963995247;NÃO ACEITO TROCA WHATSAPP 82 9964... ver número 82 9963... ver número citroen jumper 2005*2006 estou com ela desde 2020 está em ótimo estado com caixa de marcha 2015 e toda manutenção feita na Geral vans , toda manutenção sempre  feita na geral vans e ta tudo registrado. Comprei pra fazer entregas e não  lotação. Só eu dirigi o carro.  Troquei na geral vans  Temos todos os bancos Caixa de marcha Embreagem  Bomba d água  Junta moconetica...  Muito veloz, anda muito , não fumaça,  motor nunca deu problema.;07/12;19:22;amateur;31500;Carros, vans e utilitários; ;;2006;499000;;;;;;;;;;;yes;yes;yes;57084036;Maceió;Benedito Bentes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-van-so-pegar-e-usar-valor-abaixo-da-tabela-fipe-963995247;;;yes;
(Junior veiculos) Grand Siena 1.6 Sublime Completo + Teto solar;931995360;Seminovos Júnior Veiculos localizada na Av Dr Júlio Marques Luz n2410b Jatiuca Maceio Alagoas 82 3027... ver número / 9880... ver número  Fiat Grand Siena 1.6 Sublime Ano:2014 Completo Flex Com Teto Solar de fábrica  Airbag e abs Rodas de liga leve Bancos em couro Farois de milha Única dona  Manual e chave reserva  * Fazemos financiamento bancário em até 60x. *Aceitamos todos os cartões de crédito em até 24x. *Aceitamos trocas;07/12;19:19;professional;43999;Carros, vans e utilitários;FIAT GRAND SIENA ESSEN.SUBLIME 1.6 FLEX;FIAT;2014;104000;1.6;Flex;Manual;Hidráulica;Branco;4 portas;yes;yes;yes;yes;yes;yes;;57035700;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/junior-veiculos-grand-siena-1-6-sublime-completo-teto-solar-931995360;Passeio;3;yes;yes
