Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Tipo de veículo;Ano;Quilometragem;Potência do motor;Combustível;Câmbio;Direção;Cor;Portas;Final de placa;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Direção hidráulica;Alarme;Som;Sensor de ré;CEP;City;Neighborhood;Link;Câmera de ré;Blindado
S10 lt 4x4 2015 motor já 206 CV ;964654202;S10 completa  a mas nova de maceio e do nordeste linda e revisada com passagem por leilão. Mas financia também,  chama no zap 9993... ver número Aceito troca e financiamento  Só  não  aceito golpista e nem  consórcio  * pneus novos * capota maritima  * estribo lateral * traçada pra tudo * 3 meses de garantia  * 7 marchas Mas informações chama no zap 9993... ver número ou no Instagram @olveiculos ;03/12;07:16;amateur;95000;Carros, vans e utilitários;GM - CHEVROLET S10 PICK-UP LT 2.5 FLEX 4X4 CD;GM - CHEVROLET;Pick-up;2015;69000;2.0 - 2.9;Flex;Manual;Hidráulica;Branco;4 portas;6;yes;yes;yes;yes;yes;yes;yes;yes;57084700;Maceió;Benedito Bentes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/s10-lt-4x4-2015-motor-ja-206-cv-964654202;yes;
10.0000 Repasse gol 2011 ;964652695;Repasso gol ano 2011 Ent. 10.000 46 x 650.00 Faço documento cartório ;03/12;07:08;amateur;10000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL 1.0 PLUS 8V 4P;VW - VOLKSWAGEN;Hatch;2011;150000;1.0;Flex;Manual;Mecânica;Cinza;4 portas;9;;;yes;yes;;yes;;;57015430;Maceió;Vergel do Lago;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/10-0000-repasse-gol-2011-964652695;;
Uno vivace celebration (OPORTUNIDADE) Vendo,,,troco por motos ;964650747;OPORTUNIDADE   Quitado e emplacado Em meu nome  Pronto p transferir   Aceito motos Honda   Cartão de crédito   Financio pelo banco  Valor da tabela fipe 31.302,00  Preço de vender 26.500,00   WhatsApp: 9.9940.1386;03/12;07:03;amateur;26500;Carros, vans e utilitários;FIAT UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;FIAT;;2014;77000;1.0;Flex;Manual;Hidráulica;Preto;4 portas;;yes;yes;yes;yes;yes;yes;yes;;57081000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-celebration-oportunidade-vendo-troco-por-motos-964650747;;
Hyundai Santa fé blindada;964649215;Vendo carro sem detalhes: Revisões preventivas e corretivas realizadas: Câmbio, motor, hidráulica e suspensão. Tenho todas as notas fiscais para comprovar.;03/12;06:59;amateur;28000;Carros, vans e utilitários;HYUNDAI SANTA FE GLS 2.7 V6 4X4TIPTRONIC;HYUNDAI;SUV;2008;159000;2.0 - 2.9;Gasolina;Automático;Hidráulica;Preto;4 portas;8;yes;yes;yes;yes;yes;yes;yes;;57062640;Maceió;Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hyundai-santa-fe-blindada-964649215;yes;yes
Carro ômega 2.0 ano 1993;964646991;Carro em bom estado de moto emplacado pintura conservada só os panos dos bancos precisa de um resvestimento e por dentro uma geral ;03/12;06:46;amateur;10000;Carros, vans e utilitários;GM - CHEVROLET OMEGA GL 2.0/ 2.2;GM - CHEVROLET;Sedã;1993;86716;2.0 - 2.9;Gasolina;;;Verde;4 portas;2;yes;;yes;;;;;;57041750;Maceió;Jacintinho;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/carro-omega-2-0-ano-1993-964646991;;
Mustang GT Premium 5.0 V8;948633332;2018 ? 14.000km 466cv X-Pipe Vitrificado (1 ano duração ainda) Revisão de 10.000 recém realizada Câmbio AT 10 SubWoofer 8? Freios BREMBRO Faróis e Lanternas em LED BANG E OLUFSEN Sound Piloto Automático Adaptativo Ford Power > Engine Start/Stop Painel Instrumentos em LCD 12? Magneride Suspensão Adaptativa Line Lock > Pré Aquecimento dos Pneus Detecção de Pedestres e Alerta Colisão Multimídia SYNC3 GPS e Apple CarPlay Escape com 4 saídas e Ajuste Válvula Ativo Advance Trac > Controle de Tração e Estab Câmera Ré e Assistente Partidas em Rampa Bancos com Aquecimento e Refrigeração MyKey + 8 AirBags + Detector de Fadiga Rodas 19? + Modo de condução ?Pista?   ;03/12;06:42;amateur;359900;Carros, vans e utilitários;FORD MUSTANG GT PREMIUM 5.0 V8;FORD;;2018;14000;;;;;Preto;;0;yes;yes;yes;yes;yes;yes;yes;yes;57080547;Maceió;Jardim Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/mustang-gt-premium-5-0-v8-948633332;yes;
BMW X1 X-Line 2017;964645293;Vendo BMW X1 X-Line 2017, único dono. Carro Extra, muito bem cuidado, sem detalhes. Versão mais completa, com teto solar e interior caramelo. Não troca, apenas venda.;03/12;06:30;amateur;159000;Carros, vans e utilitários;BMW X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX;BMW;SUV;2017;74000;2.0 - 2.9;Flex;Automático;Elétrica;Branco;4 portas;9;yes;yes;yes;yes;yes;yes;yes;yes;57036760;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/bmw-x1-x-line-2017-964645293;yes;
Hyundai azera 2012;964644719;Bancos de couro de fábrica  Aro 18 de fábrica  Ar condicionado dual zone  Aceito trocas em carros de menor valor com torna de sua parte ;03/12;06:26;amateur;63000;Carros, vans e utilitários;HYUNDAI AZERA 3.0 V6 24V 4P AUT.;HYUNDAI;Sedã;2012;200000;3.0 - 3.9;Gasolina;Automático;Hidráulica;Branco;4 portas;9;yes;yes;yes;yes;yes;yes;yes;yes;57046000;Maceió;Serraria;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hyundai-azera-2012-964644719;yes;
HB20 2021;964643150;Compra teu carro com as menores parcelas e menores taxas Fuja do financiamento abusivo, consulte condições com taxas de até 0,14% ao mês.  Parcelas a partir de R$450 Entre em contato e comece 2022 de carro novo.;03/12;06:22;amateur;None;Carros, vans e utilitários;HYUNDAI HB20 DIAMOND 1.0 TB FLEX 12V AUT;HYUNDAI;;2021;;;;;;;;;;;;;;;;;57200000;Penedo;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hb20-2021-964643150;;
Hyundai HB20 1.0 Sense (Flex);964642174;Se você quer comprar um novo carro, precisa fazer isso com quem tem qualidade, procedência e entende do assunto. A Seminovos Movida conhece e cuida de seus veículos desde zero e é tanta confiança que damos 1 ano de garantia para todas as marcas e modelos. Aqui, você pode renovar a sua garagem com as melhores taxas e condições de pagamento e ainda avaliar o seu usado na troca. Isso sem contar as ofertas, que são as melhores do mercado. São mais de 70 lojas espalhadas por todo o Brasil. Acesse seminovosmovida.com.br, descubra qual a unidade mais próxima de você e venha nos visitar. IPVA pago,Licenciado ;03/12;06:19;professional;56990;Carros, vans e utilitários;HYUNDAI HB20 SENSE 1.0 12V FLEX MEC.;HYUNDAI;Passeio;2020;32326;1.0;Flex;Manual;;Prata;4 portas;;;;;;;;;;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-sense-flex-964642174;;
Tucson 2.0 Flex completa ;964639422;Completa Única dono  Banco em couro  Automática Todas as revisões  2.0 flex  Carro muito espaçoso  Câmera de ré       ;03/12;06:10;amateur;49000;Carros, vans e utilitários;HYUNDAI TUCSON 2.0 16V FLEX AUT.;HYUNDAI;SUV;2015;75000;2.0 - 2.9;Flex;Automático;Hidráulica;Prata;4 portas;5;yes;yes;yes;yes;yes;yes;yes;yes;57080900;Maceió;Jardim Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/tucson-2-0-flex-completa-964639422;yes;
virtus Highline 20/20 ;964632685;veículo em estado de 0km, com apenas 17mil km  mais completo, c todos os opcionais todo no led  acessórios: pedaleiras esportivas, paddle shifts esportivos, jogos de tapete interno, amortecedor de porta luvas...;03/12;05:30;amateur;98000;Carros, vans e utilitários;VW - VOLKSWAGEN VIRTUS HIGHLINE 200 TSI 1.0 FLEX 12V AUT;VW - VOLKSWAGEN;Sedã;2020;17000;1.0;Flex;Automático;Elétrica;Branco;4 portas;9;yes;yes;yes;yes;;yes;yes;yes;57042554;Maceió;Feitosa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/virtus-highline-20-20-964632685;yes;
VENDO CARRO MERIVA 2004 1.8;964632181;Meriva Flex 2004 1.8  PNEUS 3 MESES NOVOS 4 PORTAS Vidro Elétrico nas 4 portas. Placa Mercosul Recibo em branco    ;03/12;05:27;amateur;13500;Carros, vans e utilitários;GM - CHEVROLET MERIVA 1.8/ CD 1.8 MPFI FLEXPOWER 8V;GM - CHEVROLET;Hatch;2004;220000;1.8;Gasolina;Manual;Hidráulica;Outra;4 portas;7;yes;;yes;;yes;yes;yes;yes;57910000;Matriz de Camaragibe;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-carro-meriva-2004-1-8-964632181;;
Vendo Corolla altis Premium Híbrido 2021;963001543;Vendo Corolla altis Premium Híbrido 2021 único dono com 10.000 Km, tem vários acessórios, só quem dirige sou eu. Novo! Novo!;03/12;05:27;amateur;160000;Carros, vans e utilitários;TOYOTA COROLLA ALTIS PREM. HYBRID 1.8 FLEX AUT;TOYOTA;Sedã;2021;10000;1.8;Híbrido;Automático;Elétrica;Vermelho;4 portas;6;yes;yes;yes;yes;;yes;yes;yes;57160000;Marechal Deodoro;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-corolla-altis-premium-hibrido-2021-963001543;yes;
Asx 2.0 2011;964632065;Asx 2.0 automático   82 9872... ver número;03/12;05:23;amateur;45000;Carros, vans e utilitários;MITSUBISHI ASX 2.0 16V 160CV AUT.;MITSUBISHI;SUV;2011;210000;2.0 - 2.9;Gasolina;Automático;Hidráulica;Branco;4 portas;1;yes;yes;yes;yes;yes;yes;yes;yes;57010560;Maceió;Trapiche da Barra;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/asx-2-0-2011-964632065;;
Vendo corsa 1.4 maxx 2012/2012 completo;964629762;Carro bem conservado fone 98801-99-03 zap 99992-86-32 Wilson;03/12;04:33;professional;22990;Carros, vans e utilitários;GM - CHEVROLET CORSA HAT. MAXX 1.4 8V ECONOFLEX 5P;GM - CHEVROLET;Hatch;2012;125000;1.4;Flex;Manual;Hidráulica;Prata;4 portas;1;yes;yes;yes;yes;yes;yes;;;57046774;Maceió;Serraria;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-1-4-maxx-2012-2012-completo-964629762;;
SW4  A MAIS TOP DE MACEIÓ ;964619569;A MAIS TOP DE MACEIÓ ;03/12;01:33;amateur;107000;Carros, vans e utilitários;TOYOTA HILUX CD SRV 4X2 2.7 16V 142CV;TOYOTA;Passeio;2014;1000;2.0 - 2.9;Flex;Automático;Elétrica;Prata;4 portas;0;yes;yes;yes;yes;yes;yes;yes;yes;57084160;Maceió;Benedito Bentes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/sw4-a-mais-top-de-maceio-964619569;yes;
HB20 2014/2015 ;964618224;Único dono preço abaixo da tabela FIPE!!! pra vender logo!!! ;03/12;01:18;amateur;38000;Carros, vans e utilitários;HYUNDAI HB20;HYUNDAI;Passeio;2015;93500;1.0;Flex;Manual;Hidráulica;Branco;4 portas;9;yes;yes;;yes;yes;yes;yes;yes;57036000;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hb20-2014-2015-964618224;;
Só vendo  nissan frontieer sl  automático. Carro super conservado. Extra!!!;964616806;Vendo nissan frontieer sl automático 4x4  ano 2014  com 4 pneus novos carro  super conservado. De procedência. Despeço marreteiros e curiosos. Obs só vendo não  troco Telefone  82 9886... ver número Almeida.;03/12;00:53;amateur;117000;Carros, vans e utilitários;NISSAN FRONTIER SL CD 4X4 2.5TB DIESEL AUT;NISSAN;Pick-up;2014;156125;2.0 - 2.9;Diesel;Automático;Hidráulica;Branco;4 portas;3;yes;yes;yes;yes;yes;yes;yes;yes;57044098;Maceió;São Jorge;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/so-vendo-nissan-frontieer-sl-automatico-carro-super-conservado-extra-964616806;yes;
(Junior veiculos) Gm onix LT completo flex;964611891;Seminovos Jùnior Veiculos localizada na Av Dr Júlio Marques Luz n2410b Jatiuca Maceio Alagoas. 82 3027... ver número / 9880... ver número  Gm Onix LT 1.0 Ano:2014/2014 Completo Flex Airbag e abs  Som Rodas de liga leve Ipva pago? Super conservado  *Fazemos financiamento bancário em até 60x. *Aceitamos todos os cartões de crédito em até 24x. *Aceitamos trocas. *Aceitamos carta de crédito.;03/12;00:09;professional;44000;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.;GM - CHEVROLET;Passeio;2014;65000;1.0;Flex;Manual;Hidráulica;Branco;4 portas;8;yes;yes;yes;yes;yes;yes;yes;yes;57035700;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/junior-veiculos-gm-onix-lt-completo-flex-964611891;;
Carro c3 ;964610438;Completo ;02/12;23:57;amateur;13000;Carros, vans e utilitários;CITROEN C3 XTR 1.4 FLEX 8V 5P;CITROEN;Passeio;2007;1600000;1.4;Flex;Manual;Hidráulica;Preto;4 portas;2;yes;;yes;yes;yes;;;yes;57074530;Maceió;Cidade Universitária;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/carro-c3-964610438;;
RENEGADE 2019/2020 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;858182670;Veículo: JEEP RENEGADE 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO Ano: 2019... ver número Cor: Azul  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Rodas de liga leve, Bancos de couro, Desembaçador traseiro, Rádio, Encosto de cabeça traseiro, Volante com Regulagem de Altura, Sensor de estacionamento, Banco do motorista com ajuste de altura, Computador de bordo, Controle automático de velocidade, Controle de tração  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, troca viabilizada e seu carro entregue na segurança de sua casa! Agende já seu atendimento!;02/12;23:44;professional;93490;Carros, vans e utilitários;JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.;JEEP;Passeio;2020;44557;;Flex;Automático;;;4 portas;9;yes;;yes;yes;;yes;;;57061000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/renegade-2019-2020-1-8-16v-flex-longitude-4p-automatico-858182670;;
GOL 2019/2020 1.6 MSI TOTALFLEX 4P MANUAL;960363464;Veículo: VOLKSWAGEN GOL 1.6 MSI TOTALFLEX 4P MANUAL Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Limpador traseiro, Rádio, Sensor de estacionamento, Banco do motorista com ajuste de altura  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;02/12;23:44;professional;55530;Carros, vans e utilitários;VW - VOLKSWAGEN GOL PLUS 1.0 MI TOTAL FLEX 2P;VW - VOLKSWAGEN;Passeio;2020;50882;;Flex;Manual;;;4 portas;6;yes;;yes;yes;yes;yes;;;57061000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-2019-2020-1-6-msi-totalflex-4p-manual-960363464;;
Polo 2009 1.6 completo vendo troco;964607103;Vendo troco ZAP 9817... ver número;02/12;23:36;amateur;25000;Carros, vans e utilitários;VW - VOLKSWAGEN POLO 1.6 E-FLEX 8V 5P;VW - VOLKSWAGEN;Hatch;2009;140000;1.6;Flex;Manual;Hidráulica;Preto;4 portas;0;yes;;yes;yes;yes;yes;yes;yes;57060100;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-2009-1-6-completo-vendo-troco-964607103;;
C3 tendence 2013;964603713;Telefone: 9991... ver número ;02/12;23:31;amateur;32000;Carros, vans e utilitários;CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.;CITROEN;Passeio;2013;76;1.5;Flex;Manual;Elétrica;Vermelho;4 portas;2;yes;yes;yes;yes;;yes;yes;yes;57057550;Maceió;Pinheiro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/c3-tendence-2013-964603713;;
TOYOTA PRADO 2008 4x4 A mais nova do Brasil;964601697;A MAIS NOVA DO BRASIL   Completa, funcionando tudo perfeitamente, carro particular, 180 mil km original, rodas aro 20? da SW4, DVD de última geração PIONNER com TV, Bluetooth, câmera de ré, pneus meia vida,   Carro para pessoas exigentes.   WhatsApp 82 9964... ver número;02/12;23:24;amateur;109000;Carros, vans e utilitários;TOYOTA LAND CRUISER PRADO 3.0 4X4 TB DIESEL AUT;TOYOTA;Passeio;2008;182000;3.0 - 3.9;Diesel;Automático;Hidráulica;Preto;4 portas;2;yes;yes;yes;yes;yes;yes;yes;yes;57240000;São Miguel Dos Campos;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/toyota-prado-2008-4x4-a-mais-nova-do-brasil-964601697;yes;
Uno Drive 1.0 (com ou sem entrada + saldo em até 60X);960482109;Uno drive 2018 1.0  Ar condicionado Travas elétricas  Vidros elétricos  Som  Computador de bordo    Setor de vendas: Anthony: (82) 9941... ver número   R$: 43.900  FORMAS DE PAGAMENTO:  À VISTA FINANCIAMENTO EM ATE? 60x CARTAO DE CREDITO EM ATE? 12x  NEGOCIOS COM TOTAL TRANSPARENCIA;02/12;23:01;professional;43900;Carros, vans e utilitários;FIAT UNO DRIVE 1.0 FLEX 6V 5P;FIAT;Hatch;2018;80000;1.0;Flex;Manual;Elétrica;Preto;4 portas;1;yes;;yes;yes;;;;;57010001;Maceió;Prado;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/uno-drive-1-0-com-ou-sem-entrada-saldo-em-ate-60x-960482109;;
Strada 1.4 FREEDOM 2019/19;944816106;(VERSÃO TOP)  2019/19 Emplacado 2021 Veículo totalmente conservado  Parte interna do teto na cor preta Manual e chave reserva  Pneus novos Painel com detalhes em black piano  Multimídia completa (B6 connect) Conexão (USB, BLUETOOTH) Volante multifuncional  Capota marítima  Computador de bordo  Sensor de estacionamento  Retrovisores elétricos  Faróis de milha  Rodas de liga leve   WHATSAPP: 9916... ver número ;02/12;22:56;professional;63500;Carros, vans e utilitários;FIAT STRADA FREEDOM 1.4 FLEX 8V CS;FIAT;Pick-up;2019;50000;1.4;Flex;Manual;Hidráulica;Branco;2 portas;;yes;yes;yes;yes;yes;yes;yes;yes;57052675;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/strada-1-4-freedom-2019-19-944816106;;
(Autonino Veiculos) Nissan Kicks SL 2017;961493921;"Nissan Kicks SL 2017 A mais top da categoria.  Chave sensor de presença Câmeras com visão de 360 graus Botão START/STOP  Estamos no mercado há 22 anos, pautados de credibilidade e profissionalismo, prezando sempre por confiança e respeito dos nossos clientes!  Aceitamos troca e fazemos financiamento por 4 (quatro) bancos.  Nossa loja fica situada na Av. Dr. Júlio Marques Luz (Av. Jatiúca), n 2419. Ponto de referência: vindo pela Av. Gustavo Paiva, em direção ao Centro, entra na primeira rua à esquerda após a Sococo. É a segunda loja à esquerda. Autonino Veículos.  Contatos: Antonino; WhatsApp/Oi: (82) 9882... ver número; Claro: (82) 9930... ver número; Loja: (82) 3327... ver número";02/12;22:54;professional;None;Carros, vans e utilitários;NISSAN KICKS SL 1.6 16V FLEXSTAR 5P AUT.;NISSAN;SUV;2017;1;1.6;Flex;Automático;Elétrica;Cinza;;;yes;yes;yes;yes;yes;yes;yes;yes;57035700;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/autonino-veiculos-nissan-kicks-sl-2017-961493921;;
Gol AP 1.6 ano 1994 emplacado ;964599361;Carro bem conservado e revisado Falar com Jaelisson Fone E zap (82) 9-9604... ver número;02/12;22:51;amateur;10000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL;VW - VOLKSWAGEN;Passeio;1994;1000;1.6;Gasolina;Manual;Mecânica;Prata;;;;;;;;;;;57580000;Major Isidoro;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-ap-1-6-ano-1994-emplacado-964599361;;
